,adaptive-support,no-support,passenger-support,staff-support
0,218.0,278.0,256.0,318.0
1,322.0,314.0,260.0,320.0
2,254.0,276.0,510.0,399.0
3,313.0,912.0,310.0,368.0
4,341.0,373.0,264.0,267.0
5,255.0,303.0,250.0,362.0
6,376.0,300.0,275.0,272.0
7,376.0,360.0,313.0,250.0
8,275.0,285.0,492.0,295.0
9,328.0,503.0,540.0,253.0
10,336.0,290.0,270.0,258.0
11,436.0,311.0,261.0,333.0
12,251.0,622.0,291.0,398.0
13,383.0,314.0,380.0,423.0
14,238.0,331.0,257.0,435.0
15,264.0,298.0,373.0,215.0
16,257.0,290.0,282.0,315.0
17,326.0,354.0,279.0,259.0
18,297.0,270.0,464.0,239.0
19,333.0,340.0,246.0,257.0
20,220.0,618.0,250.0,409.0
21,368.0,275.0,264.0,254.0
22,273.0,499.0,249.0,249.0
23,359.0,261.0,218.0,271.0
24,294.0,299.0,311.0,267.0
25,295.0,317.0,321.0,340.0
26,241.0,301.0,364.0,434.0
27,311.0,499.0,,310.0
28,378.0,517.0,259.0,266.0
29,280.0,261.0,256.0,371.0
30,253.0,299.0,255.0,284.0
31,262.0,311.0,259.0,313.0
32,236.0,275.0,272.0,432.0
33,509.0,268.0,277.0,330.0
34,412.0,510.0,270.0,287.0
35,272.0,500.0,307.0,342.0
36,328.0,305.0,315.0,303.0
37,457.0,301.0,277.0,316.0
38,297.0,512.0,263.0,293.0
39,252.0,291.0,278.0,263.0
40,313.0,264.0,259.0,254.0
41,267.0,498.0,273.0,405.0
42,259.0,358.0,321.0,266.0
43,274.0,500.0,315.0,256.0
44,268.0,273.0,315.0,259.0
45,254.0,266.0,310.0,315.0
46,346.0,499.0,326.0,362.0
47,300.0,329.0,265.0,266.0
48,423.0,445.0,255.0,403.0
49,336.0,317.0,267.0,290.0
50,263.0,350.0,349.0,295.0
51,255.0,373.0,326.0,434.0
52,257.0,523.0,392.0,300.0
53,253.0,294.0,260.0,288.0
54,300.0,292.0,221.0,213.0
55,256.0,266.0,343.0,266.0
56,259.0,494.0,314.0,259.0
57,216.0,301.0,301.0,290.0
58,251.0,490.0,373.0,313.0
59,270.0,549.0,281.0,345.0
60,711.0,275.0,267.0,314.0
61,261.0,319.0,295.0,396.0
62,317.0,350.0,257.0,216.0
63,259.0,491.0,394.0,321.0
64,255.0,284.0,268.0,272.0
65,260.0,328.0,313.0,316.0
66,310.0,267.0,265.0,428.0
67,259.0,304.0,567.0,269.0
68,266.0,356.0,305.0,262.0
69,265.0,270.0,298.0,260.0
70,267.0,303.0,445.0,273.0
71,310.0,258.0,315.0,345.0
72,334.0,297.0,315.0,314.0
73,263.0,502.0,347.0,257.0
74,422.0,505.0,291.0,264.0
75,283.0,255.0,319.0,315.0
76,327.0,738.0,557.0,217.0
77,254.0,505.0,236.0,226.0
78,211.0,511.0,293.0,324.0
79,261.0,493.0,282.0,315.0
80,323.0,322.0,389.0,429.0
81,265.0,508.0,259.0,401.0
82,311.0,317.0,293.0,259.0
83,413.0,305.0,371.0,314.0
84,398.0,294.0,276.0,319.0
85,313.0,501.0,285.0,257.0
86,257.0,410.0,323.0,433.0
87,253.0,321.0,339.0,319.0
88,282.0,503.0,341.0,275.0
89,439.0,595.0,303.0,555.0
90,259.0,503.0,261.0,256.0
91,310.0,646.0,320.0,405.0
92,254.0,502.0,343.0,419.0
93,341.0,256.0,317.0,285.0
94,315.0,274.0,275.0,361.0
95,381.0,339.0,311.0,261.0
96,254.0,305.0,255.0,261.0
97,262.0,267.0,292.0,258.0
98,255.0,285.0,297.0,418.0
99,379.0,492.0,278.0,410.0
