,adaptive-support,no-support,passenger-support,staff-support
0,316.0,291.0,348.0,360.0
1,266.0,256.0,368.0,256.0
2,325.0,299.0,261.0,259.0
3,264.0,291.0,265.0,353.0
4,252.0,739.0,310.0,263.0
5,385.0,490.0,314.0,252.0
6,252.0,368.0,263.0,434.0
7,395.0,260.0,538.0,293.0
8,348.0,293.0,318.0,317.0
9,314.0,321.0,318.0,321.0
10,260.0,290.0,296.0,259.0
11,248.0,306.0,310.0,269.0
12,230.0,493.0,341.0,213.0
13,265.0,304.0,314.0,258.0
14,280.0,278.0,280.0,380.0
15,320.0,507.0,367.0,257.0
16,293.0,261.0,303.0,220.0
17,374.0,254.0,264.0,258.0
18,267.0,283.0,254.0,313.0
19,313.0,499.0,255.0,257.0
20,257.0,301.0,271.0,373.0
21,252.0,502.0,301.0,324.0
22,465.0,490.0,311.0,258.0
23,262.0,269.0,259.0,295.0
24,379.0,496.0,300.0,264.0
25,233.0,263.0,259.0,275.0
26,259.0,303.0,269.0,427.0
27,258.0,511.0,274.0,283.0
28,316.0,296.0,282.0,268.0
29,221.0,278.0,280.0,396.0
30,316.0,496.0,265.0,316.0
31,255.0,261.0,316.0,375.0
32,254.0,500.0,288.0,218.0
33,263.0,293.0,335.0,268.0
34,272.0,296.0,320.0,225.0
35,257.0,512.0,255.0,250.0
36,304.0,272.0,318.0,435.0
37,269.0,281.0,254.0,280.0
38,255.0,496.0,262.0,347.0
39,290.0,284.0,503.0,275.0
40,251.0,280.0,262.0,261.0
41,263.0,507.0,319.0,284.0
42,312.0,282.0,323.0,255.0
43,301.0,280.0,301.0,348.0
44,218.0,307.0,255.0,290.0
45,343.0,311.0,266.0,249.0
46,290.0,342.0,216.0,354.0
47,249.0,267.0,318.0,269.0
48,319.0,311.0,320.0,500.0
49,267.0,503.0,317.0,254.0
50,268.0,493.0,255.0,357.0
51,254.0,288.0,312.0,345.0
52,273.0,323.0,399.0,312.0
53,225.0,497.0,381.0,258.0
54,300.0,270.0,282.0,269.0
55,257.0,305.0,495.0,266.0
56,251.0,263.0,278.0,327.0
57,365.0,252.0,260.0,310.0
58,258.0,268.0,260.0,406.0
59,310.0,293.0,246.0,267.0
60,313.0,277.0,256.0,230.0
61,385.0,264.0,252.0,259.0
62,357.0,330.0,257.0,256.0
63,374.0,528.0,255.0,315.0
64,293.0,507.0,270.0,317.0
65,261.0,287.0,380.0,363.0
66,274.0,263.0,262.0,315.0
67,396.0,756.0,222.0,359.0
68,260.0,340.0,220.0,326.0
69,313.0,261.0,258.0,316.0
70,272.0,297.0,289.0,264.0
71,210.0,267.0,305.0,354.0
72,318.0,269.0,257.0,302.0
73,260.0,258.0,384.0,361.0
74,260.0,276.0,320.0,309.0
75,293.0,315.0,423.0,319.0
76,273.0,379.0,331.0,256.0
77,356.0,512.0,310.0,336.0
78,265.0,610.0,263.0,258.0
79,264.0,317.0,254.0,268.0
80,302.0,288.0,315.0,222.0
81,277.0,748.0,271.0,226.0
82,273.0,278.0,288.0,252.0
83,328.0,495.0,251.0,385.0
84,313.0,378.0,431.0,367.0
85,303.0,558.0,310.0,343.0
86,256.0,308.0,257.0,263.0
87,303.0,286.0,501.0,348.0
88,279.0,515.0,273.0,313.0
89,263.0,374.0,295.0,257.0
90,285.0,500.0,255.0,250.0
91,267.0,521.0,324.0,255.0
92,298.0,507.0,266.0,262.0
93,312.0,490.0,381.0,260.0
94,374.0,285.0,314.0,428.0
95,252.0,292.0,270.0,256.0
96,245.0,297.0,391.0,223.0
97,271.0,502.0,302.0,323.0
98,255.0,378.0,326.0,315.0
99,258.0,306.0,371.0,251.0
