,adaptive-support,no-support,passenger-support,staff-support
0,262.0,285.0,296.0,254.0
1,251.0,499.0,260.0,254.0
2,310.0,271.0,257.0,313.0
3,319.0,439.0,257.0,220.0
4,265.0,513.0,257.0,258.0
5,256.0,492.0,302.0,255.0
6,319.0,324.0,250.0,252.0
7,303.0,437.0,338.0,275.0
8,258.0,313.0,248.0,434.0
9,265.0,304.0,292.0,255.0
10,288.0,494.0,278.0,319.0
11,257.0,521.0,399.0,262.0
12,220.0,298.0,498.0,309.0
13,276.0,508.0,276.0,224.0
14,314.0,547.0,341.0,211.0
15,260.0,494.0,258.0,495.0
16,315.0,313.0,276.0,259.0
17,310.0,510.0,258.0,250.0
18,338.0,507.0,381.0,321.0
19,442.0,295.0,257.0,314.0
20,270.0,307.0,336.0,316.0
21,279.0,309.0,370.0,237.0
22,329.0,323.0,377.0,378.0
23,291.0,281.0,214.0,306.0
24,212.0,519.0,231.0,447.0
25,273.0,287.0,308.0,271.0
26,205.0,279.0,314.0,253.0
27,319.0,263.0,259.0,300.0
28,436.0,262.0,299.0,253.0
29,259.0,318.0,492.0,222.0
30,224.0,523.0,254.0,346.0
31,242.0,378.0,268.0,268.0
32,266.0,498.0,290.0,310.0
33,303.0,291.0,324.0,266.0
34,275.0,299.0,311.0,435.0
35,305.0,290.0,251.0,219.0
36,263.0,267.0,368.0,264.0
37,259.0,257.0,272.0,256.0
38,251.0,268.0,297.0,248.0
39,258.0,286.0,236.0,316.0
40,283.0,282.0,313.0,222.0
41,256.0,271.0,213.0,388.0
42,269.0,283.0,252.0,280.0
43,251.0,461.0,272.0,321.0
44,264.0,511.0,271.0,314.0
45,258.0,502.0,313.0,288.0
46,287.0,304.0,339.0,238.0
47,254.0,292.0,315.0,317.0
48,319.0,736.0,269.0,268.0
49,266.0,280.0,294.0,273.0
50,233.0,497.0,216.0,271.0
51,255.0,295.0,283.0,351.0
52,224.0,420.0,266.0,248.0
53,257.0,278.0,253.0,315.0
54,259.0,277.0,362.0,316.0
55,308.0,305.0,252.0,315.0
56,314.0,365.0,261.0,265.0
57,316.0,281.0,260.0,256.0
58,256.0,277.0,262.0,267.0
59,214.0,282.0,313.0,312.0
60,282.0,517.0,506.0,260.0
61,292.0,318.0,491.0,309.0
62,251.0,504.0,273.0,314.0
63,259.0,738.0,259.0,327.0
64,315.0,275.0,321.0,298.0
65,250.0,366.0,258.0,253.0
66,260.0,291.0,254.0,337.0
67,254.0,496.0,271.0,313.0
68,270.0,316.0,208.0,255.0
69,308.0,274.0,315.0,284.0
70,288.0,495.0,314.0,319.0
71,320.0,262.0,270.0,264.0
72,307.0,542.0,389.0,260.0
73,272.0,740.0,280.0,213.0
74,266.0,283.0,278.0,217.0
75,316.0,271.0,261.0,265.0
76,265.0,336.0,315.0,273.0
77,275.0,258.0,254.0,266.0
78,260.0,565.0,256.0,319.0
79,310.0,279.0,447.0,406.0
80,258.0,489.0,259.0,315.0
81,272.0,325.0,329.0,334.0
82,315.0,377.0,291.0,251.0
83,270.0,309.0,312.0,220.0
84,317.0,266.0,279.0,384.0
85,263.0,307.0,254.0,323.0
86,404.0,292.0,257.0,253.0
87,257.0,505.0,404.0,250.0
88,300.0,509.0,278.0,261.0
89,284.0,286.0,337.0,315.0
90,287.0,264.0,326.0,212.0
91,226.0,295.0,311.0,278.0
92,365.0,253.0,325.0,289.0
93,248.0,495.0,205.0,433.0
94,251.0,263.0,654.0,255.0
95,364.0,303.0,309.0,263.0
96,269.0,265.0,274.0,213.0
97,261.0,296.0,260.0,249.0
98,298.0,257.0,310.0,317.0
99,297.0,259.0,430.0,223.0
