,adaptive-support,no-support,passenger-support,staff-support
0,374.0,297.0,275.0,255.0
1,259.0,261.0,281.0,327.0
2,287.0,584.0,387.0,275.0
3,295.0,329.0,415.0,318.0
4,238.0,316.0,282.0,316.0
5,265.0,362.0,230.0,255.0
6,272.0,323.0,218.0,261.0
7,277.0,506.0,250.0,256.0
8,315.0,288.0,316.0,297.0
9,322.0,309.0,264.0,256.0
10,271.0,498.0,259.0,360.0
11,274.0,277.0,274.0,299.0
12,262.0,492.0,262.0,316.0
13,307.0,320.0,280.0,223.0
14,494.0,296.0,552.0,325.0
15,294.0,341.0,392.0,259.0
16,319.0,291.0,333.0,316.0
17,358.0,283.0,313.0,255.0
18,284.0,281.0,251.0,314.0
19,210.0,276.0,322.0,374.0
20,257.0,294.0,317.0,257.0
21,311.0,503.0,385.0,326.0
22,377.0,490.0,378.0,258.0
23,278.0,314.0,281.0,271.0
24,310.0,277.0,319.0,260.0
25,323.0,283.0,,329.0
26,287.0,506.0,260.0,316.0
27,277.0,269.0,342.0,267.0
28,257.0,278.0,268.0,271.0
29,259.0,303.0,449.0,316.0
30,269.0,295.0,376.0,315.0
31,331.0,273.0,456.0,238.0
32,314.0,508.0,379.0,308.0
33,297.0,309.0,563.0,308.0
34,321.0,373.0,386.0,369.0
35,259.0,257.0,267.0,311.0
36,263.0,268.0,257.0,257.0
37,379.0,330.0,266.0,254.0
38,434.0,273.0,250.0,287.0
39,251.0,314.0,280.0,330.0
40,242.0,272.0,519.0,256.0
41,241.0,262.0,218.0,319.0
42,263.0,259.0,254.0,438.0
43,256.0,508.0,223.0,259.0
44,261.0,502.0,301.0,286.0
45,293.0,281.0,291.0,257.0
46,251.0,266.0,257.0,218.0
47,275.0,264.0,370.0,319.0
48,309.0,404.0,371.0,326.0
49,312.0,517.0,280.0,315.0
50,254.0,306.0,272.0,253.0
51,310.0,531.0,318.0,317.0
52,259.0,280.0,300.0,260.0
53,265.0,252.0,317.0,248.0
54,265.0,333.0,302.0,310.0
55,207.0,307.0,285.0,313.0
56,273.0,561.0,310.0,248.0
57,317.0,291.0,311.0,312.0
58,315.0,500.0,264.0,315.0
59,270.0,491.0,276.0,286.0
60,321.0,494.0,275.0,265.0
61,279.0,304.0,286.0,320.0
62,261.0,504.0,294.0,257.0
63,262.0,266.0,379.0,326.0
64,270.0,495.0,273.0,254.0
65,348.0,284.0,320.0,302.0
66,284.0,299.0,260.0,333.0
67,410.0,506.0,317.0,261.0
68,377.0,285.0,249.0,288.0
69,221.0,360.0,266.0,272.0
70,236.0,264.0,258.0,326.0
71,321.0,297.0,238.0,304.0
72,341.0,273.0,316.0,254.0
73,372.0,503.0,238.0,314.0
74,262.0,493.0,319.0,372.0
75,297.0,287.0,280.0,264.0
76,275.0,317.0,364.0,265.0
77,312.0,300.0,343.0,222.0
78,377.0,260.0,258.0,373.0
79,404.0,501.0,255.0,310.0
80,319.0,296.0,399.0,257.0
81,339.0,281.0,262.0,315.0
82,299.0,351.0,254.0,262.0
83,277.0,275.0,312.0,324.0
84,264.0,259.0,258.0,299.0
85,336.0,502.0,316.0,300.0
86,275.0,268.0,261.0,261.0
87,315.0,373.0,320.0,259.0
88,305.0,314.0,269.0,292.0
89,282.0,305.0,223.0,202.0
90,236.0,316.0,286.0,281.0
91,396.0,338.0,264.0,249.0
92,250.0,510.0,304.0,302.0
93,255.0,379.0,265.0,288.0
94,274.0,299.0,299.0,262.0
95,259.0,501.0,304.0,259.0
96,316.0,508.0,272.0,314.0
97,373.0,271.0,273.0,263.0
98,345.0,501.0,253.0,292.0
99,300.0,526.0,268.0,248.0
