,adaptive-support,no-support,passenger-support,staff-support
0,312.0,507.0,264.0,240.0
1,682.0,316.0,292.0,254.0
2,260.0,323.0,254.0,371.0
3,294.0,307.0,359.0,448.0
4,311.0,506.0,292.0,267.0
5,656.0,501.0,254.0,272.0
6,253.0,362.0,289.0,381.0
7,266.0,324.0,322.0,370.0
8,258.0,326.0,304.0,252.0
9,257.0,300.0,257.0,310.0
10,315.0,273.0,227.0,250.0
11,305.0,533.0,268.0,268.0
12,322.0,304.0,346.0,661.0
13,268.0,511.0,291.0,279.0
14,264.0,303.0,300.0,669.0
15,271.0,295.0,393.0,325.0
16,258.0,504.0,316.0,262.0
17,422.0,256.0,342.0,261.0
18,217.0,313.0,314.0,253.0
19,794.0,321.0,272.0,250.0
20,344.0,315.0,299.0,435.0
21,255.0,263.0,665.0,312.0
22,518.0,283.0,298.0,242.0
23,309.0,295.0,256.0,282.0
24,248.0,340.0,210.0,332.0
25,248.0,518.0,280.0,257.0
26,256.0,378.0,328.0,681.0
27,260.0,502.0,299.0,253.0
28,254.0,505.0,249.0,272.0
29,268.0,298.0,314.0,257.0
30,282.0,499.0,284.0,625.0
31,450.0,334.0,435.0,635.0
32,224.0,280.0,268.0,223.0
33,316.0,271.0,278.0,259.0
34,218.0,499.0,287.0,290.0
35,315.0,290.0,276.0,261.0
36,274.0,311.0,296.0,258.0
37,287.0,514.0,312.0,673.0
38,266.0,503.0,277.0,322.0
39,361.0,510.0,293.0,263.0
40,309.0,278.0,248.0,650.0
41,240.0,252.0,702.0,652.0
42,319.0,323.0,328.0,212.0
43,274.0,512.0,289.0,375.0
44,358.0,254.0,575.0,255.0
45,390.0,499.0,255.0,258.0
46,285.0,316.0,320.0,282.0
47,295.0,261.0,658.0,636.0
48,253.0,506.0,267.0,247.0
49,490.0,300.0,296.0,274.0
50,225.0,318.0,292.0,638.0
51,379.0,260.0,401.0,225.0
52,255.0,496.0,295.0,304.0
53,270.0,314.0,380.0,279.0
54,312.0,278.0,372.0,278.0
55,258.0,278.0,306.0,256.0
56,374.0,360.0,301.0,663.0
57,255.0,309.0,265.0,324.0
58,345.0,369.0,258.0,653.0
59,231.0,267.0,316.0,313.0
60,260.0,266.0,337.0,639.0
61,260.0,294.0,327.0,226.0
62,734.0,293.0,397.0,255.0
63,259.0,268.0,267.0,250.0
64,263.0,493.0,259.0,218.0
65,312.0,268.0,252.0,312.0
66,266.0,367.0,255.0,254.0
67,252.0,303.0,399.0,277.0
68,272.0,323.0,459.0,315.0
69,368.0,518.0,259.0,624.0
70,321.0,277.0,257.0,260.0
71,310.0,255.0,255.0,257.0
72,332.0,501.0,312.0,641.0
73,312.0,377.0,369.0,267.0
74,216.0,291.0,226.0,261.0
75,409.0,438.0,264.0,624.0
76,266.0,321.0,536.0,373.0
77,228.0,372.0,315.0,669.0
78,285.0,335.0,289.0,314.0
79,250.0,270.0,312.0,267.0
80,330.0,732.0,307.0,212.0
81,257.0,496.0,259.0,317.0
82,260.0,286.0,249.0,687.0
83,257.0,317.0,314.0,343.0
84,254.0,494.0,256.0,322.0
85,262.0,293.0,279.0,660.0
86,314.0,321.0,257.0,323.0
87,309.0,289.0,324.0,240.0
88,655.0,323.0,328.0,255.0
89,498.0,255.0,523.0,248.0
90,263.0,510.0,275.0,650.0
91,317.0,267.0,322.0,373.0
92,253.0,317.0,297.0,251.0
93,258.0,265.0,245.0,286.0
94,232.0,528.0,316.0,679.0
95,283.0,319.0,281.0,258.0
96,471.0,267.0,332.0,241.0
97,289.0,344.0,414.0,323.0
98,259.0,288.0,377.0,318.0
99,262.0,284.0,322.0,268.0
