,adaptive-support,no-support,passenger-support,staff-support
0,399.0,265.0,251.0,276.0
1,316.0,561.0,376.0,293.0
2,347.0,283.0,321.0,249.0
3,275.0,433.0,274.0,220.0
4,213.0,304.0,281.0,267.0
5,354.0,293.0,313.0,268.0
6,256.0,292.0,261.0,259.0
7,211.0,258.0,278.0,398.0
8,322.0,329.0,260.0,269.0
9,263.0,527.0,230.0,374.0
10,250.0,504.0,317.0,220.0
11,315.0,332.0,259.0,316.0
12,257.0,368.0,322.0,314.0
13,285.0,290.0,316.0,299.0
14,262.0,268.0,366.0,261.0
15,334.0,267.0,383.0,287.0
16,275.0,263.0,320.0,272.0
17,223.0,266.0,285.0,263.0
18,250.0,320.0,308.0,263.0
19,271.0,295.0,379.0,317.0
20,250.0,443.0,208.0,251.0
21,257.0,357.0,286.0,257.0
22,257.0,291.0,316.0,265.0
23,294.0,270.0,258.0,263.0
24,309.0,568.0,212.0,348.0
25,289.0,336.0,331.0,261.0
26,262.0,302.0,311.0,260.0
27,365.0,496.0,208.0,272.0
28,255.0,293.0,315.0,312.0
29,260.0,306.0,274.0,313.0
30,254.0,313.0,297.0,276.0
31,385.0,279.0,312.0,252.0
32,249.0,513.0,279.0,251.0
33,223.0,301.0,281.0,248.0
34,256.0,495.0,255.0,259.0
35,256.0,314.0,319.0,258.0
36,370.0,400.0,278.0,262.0
37,298.0,295.0,323.0,389.0
38,276.0,273.0,319.0,262.0
39,317.0,503.0,282.0,314.0
40,281.0,,301.0,278.0
41,332.0,515.0,315.0,255.0
42,251.0,738.0,327.0,273.0
43,250.0,339.0,289.0,261.0
44,261.0,493.0,372.0,264.0
45,276.0,493.0,283.0,251.0
46,373.0,265.0,272.0,260.0
47,308.0,350.0,340.0,213.0
48,304.0,,234.0,254.0
49,324.0,289.0,319.0,374.0
50,313.0,309.0,260.0,252.0
51,394.0,295.0,311.0,472.0
52,321.0,263.0,263.0,217.0
53,322.0,273.0,321.0,329.0
54,327.0,277.0,295.0,259.0
55,374.0,272.0,276.0,272.0
56,258.0,279.0,312.0,350.0
57,432.0,337.0,310.0,317.0
58,337.0,296.0,223.0,262.0
59,270.0,273.0,402.0,258.0
60,258.0,263.0,419.0,214.0
61,207.0,292.0,264.0,305.0
62,310.0,512.0,314.0,221.0
63,259.0,503.0,309.0,253.0
64,231.0,294.0,369.0,271.0
65,280.0,552.0,259.0,326.0
66,290.0,276.0,252.0,265.0
67,265.0,321.0,300.0,272.0
68,511.0,505.0,302.0,321.0
69,209.0,373.0,312.0,287.0
70,374.0,315.0,259.0,286.0
71,268.0,270.0,256.0,318.0
72,273.0,738.0,274.0,261.0
73,253.0,283.0,266.0,262.0
74,336.0,524.0,424.0,205.0
75,320.0,263.0,263.0,343.0
76,284.0,312.0,528.0,312.0
77,311.0,302.0,253.0,223.0
78,293.0,257.0,253.0,374.0
79,227.0,296.0,282.0,301.0
80,319.0,271.0,240.0,375.0
81,225.0,315.0,313.0,316.0
82,282.0,293.0,286.0,209.0
83,251.0,499.0,353.0,296.0
84,307.0,307.0,341.0,253.0
85,322.0,494.0,229.0,258.0
86,275.0,252.0,298.0,354.0
87,256.0,279.0,438.0,372.0
88,318.0,321.0,257.0,374.0
89,250.0,265.0,264.0,310.0
90,254.0,266.0,297.0,253.0
91,211.0,502.0,251.0,266.0
92,251.0,272.0,266.0,218.0
93,268.0,514.0,250.0,266.0
94,317.0,323.0,257.0,291.0
95,318.0,353.0,273.0,438.0
96,258.0,495.0,286.0,263.0
97,253.0,263.0,307.0,307.0
98,248.0,379.0,274.0,283.0
99,262.0,540.0,255.0,321.0
