,adaptive-support,no-support,passenger-support,staff-support
0,283.0,267.0,315.0,285.0
1,378.0,294.0,319.0,313.0
2,286.0,300.0,258.0,259.0
3,257.0,330.0,498.0,256.0
4,289.0,307.0,311.0,294.0
5,435.0,262.0,316.0,259.0
6,261.0,372.0,353.0,276.0
7,370.0,274.0,303.0,279.0
8,253.0,287.0,251.0,255.0
9,262.0,323.0,263.0,251.0
10,269.0,266.0,260.0,258.0
11,314.0,980.0,315.0,248.0
12,257.0,303.0,254.0,302.0
13,357.0,300.0,313.0,230.0
14,222.0,282.0,298.0,314.0
15,315.0,302.0,307.0,272.0
16,324.0,304.0,402.0,289.0
17,265.0,737.0,268.0,236.0
18,278.0,488.0,264.0,329.0
19,270.0,316.0,325.0,252.0
20,250.0,266.0,242.0,252.0
21,259.0,270.0,258.0,316.0
22,374.0,298.0,316.0,254.0
23,271.0,272.0,252.0,314.0
24,332.0,495.0,270.0,243.0
25,270.0,556.0,315.0,260.0
26,225.0,502.0,285.0,249.0
27,211.0,505.0,266.0,318.0
28,220.0,546.0,229.0,294.0
29,308.0,488.0,260.0,279.0
30,228.0,498.0,277.0,292.0
31,260.0,264.0,307.0,259.0
32,260.0,502.0,323.0,492.0
33,261.0,745.0,213.0,264.0
34,272.0,267.0,251.0,373.0
35,271.0,326.0,304.0,399.0
36,249.0,418.0,299.0,250.0
37,301.0,411.0,253.0,255.0
38,248.0,313.0,445.0,368.0
39,295.0,257.0,297.0,260.0
40,250.0,317.0,266.0,321.0
41,348.0,513.0,304.0,254.0
42,307.0,274.0,322.0,280.0
43,241.0,511.0,354.0,229.0
44,266.0,276.0,258.0,314.0
45,317.0,272.0,320.0,268.0
46,434.0,542.0,267.0,319.0
47,260.0,495.0,280.0,254.0
48,262.0,282.0,263.0,318.0
49,354.0,324.0,320.0,301.0
50,312.0,511.0,,316.0
51,261.0,277.0,237.0,387.0
52,238.0,313.0,320.0,268.0
53,213.0,274.0,308.0,265.0
54,311.0,499.0,254.0,220.0
55,258.0,373.0,266.0,268.0
56,298.0,435.0,267.0,307.0
57,261.0,296.0,315.0,255.0
58,386.0,510.0,275.0,240.0
59,287.0,273.0,250.0,318.0
60,279.0,303.0,256.0,261.0
61,289.0,303.0,262.0,312.0
62,385.0,261.0,327.0,309.0
63,259.0,311.0,260.0,337.0
64,260.0,381.0,271.0,314.0
65,254.0,324.0,239.0,306.0
66,321.0,505.0,288.0,349.0
67,266.0,752.0,257.0,270.0
68,264.0,272.0,229.0,274.0
69,312.0,380.0,325.0,259.0
70,279.0,278.0,379.0,357.0
71,429.0,273.0,266.0,253.0
72,322.0,739.0,292.0,313.0
73,240.0,488.0,259.0,344.0
74,298.0,277.0,390.0,259.0
75,262.0,272.0,287.0,313.0
76,209.0,273.0,315.0,266.0
77,256.0,269.0,350.0,250.0
78,286.0,503.0,314.0,262.0
79,275.0,511.0,513.0,257.0
80,260.0,524.0,308.0,255.0
81,237.0,514.0,380.0,235.0
82,358.0,279.0,332.0,266.0
83,257.0,263.0,383.0,275.0
84,258.0,517.0,424.0,254.0
85,261.0,494.0,215.0,313.0
86,280.0,263.0,308.0,249.0
87,260.0,266.0,262.0,277.0
88,264.0,271.0,318.0,344.0
89,373.0,376.0,316.0,343.0
90,316.0,262.0,291.0,259.0
91,377.0,296.0,324.0,323.0
92,223.0,739.0,329.0,256.0
93,319.0,271.0,314.0,275.0
94,311.0,314.0,298.0,272.0
95,310.0,314.0,267.0,255.0
96,346.0,297.0,289.0,209.0
97,451.0,268.0,274.0,253.0
98,245.0,495.0,271.0,254.0
99,377.0,318.0,319.0,301.0
