,evacuation_time,fall_length,passenger_bonus
0,212.0,60,0.05
1,233.0,60,0.05
2,297.0,60,0.05
3,214.0,60,0.05
4,252.0,60,0.05
5,263.0,60,0.05
6,309.0,60,0.05
7,270.0,60,0.05
8,258.0,60,0.05
9,331.0,60,0.05
10,259.0,60,0.05
11,306.0,60,0.05
12,316.0,60,0.05
13,255.0,60,0.05
14,310.0,60,0.05
15,273.0,60,0.05
16,244.0,60,0.05
17,218.0,60,0.05
18,253.0,60,0.05
19,235.0,60,0.05
20,259.0,60,0.05
21,269.0,60,0.05
22,259.0,60,0.05
23,413.0,60,0.05
24,322.0,60,0.05
25,252.0,60,0.05
26,265.0,60,0.05
27,328.0,60,0.05
28,340.0,60,0.05
29,260.0,60,0.05
30,226.0,60,0.1
31,420.0,60,0.1
32,252.0,60,0.1
33,243.0,60,0.1
34,272.0,60,0.1
35,284.0,60,0.1
36,279.0,60,0.1
37,266.0,60,0.1
38,322.0,60,0.1
39,268.0,60,0.1
40,248.0,60,0.1
41,261.0,60,0.1
42,257.0,60,0.1
43,255.0,60,0.1
44,355.0,60,0.1
45,268.0,60,0.1
46,259.0,60,0.1
47,260.0,60,0.1
48,249.0,60,0.1
49,329.0,60,0.1
50,298.0,60,0.1
51,263.0,60,0.1
52,320.0,60,0.1
53,253.0,60,0.1
54,279.0,60,0.1
55,283.0,60,0.1
56,252.0,60,0.1
57,264.0,60,0.1
58,374.0,60,0.1
59,314.0,60,0.1
60,258.0,60,0.15
61,278.0,60,0.15
62,210.0,60,0.15
63,311.0,60,0.15
64,255.0,60,0.15
65,284.0,60,0.15
66,249.0,60,0.15
67,260.0,60,0.15
68,249.0,60,0.15
69,310.0,60,0.15
70,358.0,60,0.15
71,282.0,60,0.15
72,281.0,60,0.15
73,322.0,60,0.15
74,256.0,60,0.15
75,260.0,60,0.15
76,250.0,60,0.15
77,273.0,60,0.15
78,257.0,60,0.15
79,314.0,60,0.15
80,259.0,60,0.15
81,373.0,60,0.15
82,268.0,60,0.15
83,316.0,60,0.15
84,254.0,60,0.15
85,277.0,60,0.15
86,220.0,60,0.15
87,265.0,60,0.15
88,281.0,60,0.15
89,216.0,60,0.15
90,263.0,60,0.2
91,296.0,60,0.2
92,252.0,60,0.2
93,249.0,60,0.2
94,267.0,60,0.2
95,319.0,60,0.2
96,214.0,60,0.2
97,311.0,60,0.2
98,371.0,60,0.2
99,330.0,60,0.2
100,261.0,60,0.2
101,281.0,60,0.2
102,250.0,60,0.2
103,378.0,60,0.2
104,450.0,60,0.2
105,372.0,60,0.2
106,263.0,60,0.2
107,321.0,60,0.2
108,271.0,60,0.2
109,241.0,60,0.2
110,267.0,60,0.2
111,291.0,60,0.2
112,254.0,60,0.2
113,318.0,60,0.2
114,279.0,60,0.2
115,435.0,60,0.2
116,261.0,60,0.2
117,317.0,60,0.2
118,263.0,60,0.2
119,304.0,60,0.2
120,271.0,60,0.25
121,352.0,60,0.25
122,312.0,60,0.25
123,307.0,60,0.25
124,265.0,60,0.25
125,211.0,60,0.25
126,258.0,60,0.25
127,256.0,60,0.25
128,275.0,60,0.25
129,276.0,60,0.25
130,311.0,60,0.25
131,254.0,60,0.25
132,273.0,60,0.25
133,255.0,60,0.25
134,260.0,60,0.25
135,314.0,60,0.25
136,269.0,60,0.25
137,236.0,60,0.25
138,271.0,60,0.25
139,261.0,60,0.25
140,255.0,60,0.25
141,373.0,60,0.25
142,376.0,60,0.25
143,255.0,60,0.25
144,311.0,60,0.25
145,294.0,60,0.25
146,262.0,60,0.25
147,260.0,60,0.25
148,426.0,60,0.25
149,313.0,60,0.25
150,372.0,60,0.3
151,312.0,60,0.3
152,269.0,60,0.3
153,263.0,60,0.3
154,314.0,60,0.3
155,306.0,60,0.3
156,210.0,60,0.3
157,258.0,60,0.3
158,223.0,60,0.3
159,313.0,60,0.3
160,254.0,60,0.3
161,374.0,60,0.3
162,318.0,60,0.3
163,257.0,60,0.3
164,318.0,60,0.3
165,254.0,60,0.3
166,376.0,60,0.3
167,256.0,60,0.3
168,347.0,60,0.3
169,263.0,60,0.3
170,250.0,60,0.3
171,264.0,60,0.3
172,326.0,60,0.3
173,253.0,60,0.3
174,255.0,60,0.3
175,309.0,60,0.3
176,295.0,60,0.3
177,313.0,60,0.3
178,263.0,60,0.3
179,311.0,60,0.3
180,311.0,60,0.35
181,315.0,60,0.35
182,257.0,60,0.35
183,257.0,60,0.35
184,316.0,60,0.35
185,258.0,60,0.35
186,313.0,60,0.35
187,347.0,60,0.35
188,308.0,60,0.35
189,286.0,60,0.35
190,232.0,60,0.35
191,282.0,60,0.35
192,376.0,60,0.35
193,247.0,60,0.35
194,344.0,60,0.35
195,260.0,60,0.35
196,386.0,60,0.35
197,328.0,60,0.35
198,256.0,60,0.35
199,222.0,60,0.35
200,298.0,60,0.35
201,307.0,60,0.35
202,374.0,60,0.35
203,316.0,60,0.35
204,311.0,60,0.35
205,269.0,60,0.35
206,247.0,60,0.35
207,266.0,60,0.35
208,373.0,60,0.35
209,261.0,60,0.35
210,316.0,60,0.4
211,335.0,60,0.4
212,258.0,60,0.4
213,220.0,60,0.4
214,314.0,60,0.4
215,266.0,60,0.4
216,254.0,60,0.4
217,334.0,60,0.4
218,255.0,60,0.4
219,384.0,60,0.4
220,313.0,60,0.4
221,226.0,60,0.4
222,309.0,60,0.4
223,310.0,60,0.4
224,277.0,60,0.4
225,274.0,60,0.4
226,271.0,60,0.4
227,263.0,60,0.4
228,267.0,60,0.4
229,341.0,60,0.4
230,292.0,60,0.4
231,260.0,60,0.4
232,313.0,60,0.4
233,276.0,60,0.4
234,430.0,60,0.4
235,323.0,60,0.4
236,305.0,60,0.4
237,260.0,60,0.4
238,259.0,60,0.4
239,334.0,60,0.4
240,310.0,60,0.45
241,218.0,60,0.45
242,258.0,60,0.45
243,323.0,60,0.45
244,266.0,60,0.45
245,279.0,60,0.45
246,309.0,60,0.45
247,284.0,60,0.45
248,252.0,60,0.45
249,256.0,60,0.45
250,233.0,60,0.45
251,265.0,60,0.45
252,259.0,60,0.45
253,262.0,60,0.45
254,282.0,60,0.45
255,538.0,60,0.45
256,258.0,60,0.45
257,407.0,60,0.45
258,263.0,60,0.45
259,334.0,60,0.45
260,374.0,60,0.45
261,283.0,60,0.45
262,332.0,60,0.45
263,233.0,60,0.45
264,253.0,60,0.45
265,301.0,60,0.45
266,251.0,60,0.45
267,257.0,60,0.45
268,256.0,60,0.45
269,273.0,60,0.45
270,311.0,60,0.5
271,256.0,60,0.5
272,225.0,60,0.5
273,337.0,60,0.5
274,377.0,60,0.5
275,309.0,60,0.5
276,283.0,60,0.5
277,284.0,60,0.5
278,261.0,60,0.5
279,370.0,60,0.5
280,310.0,60,0.5
281,313.0,60,0.5
282,504.0,60,0.5
283,252.0,60,0.5
284,256.0,60,0.5
285,310.0,60,0.5
286,314.0,60,0.5
287,260.0,60,0.5
288,330.0,60,0.5
289,316.0,60,0.5
290,258.0,60,0.5
291,255.0,60,0.5
292,260.0,60,0.5
293,248.0,60,0.5
294,378.0,60,0.5
295,215.0,60,0.5
