,evacuation_time,fall_length,passenger_bonus
296,270.0,60,0.5
297,279.0,60,0.5
298,371.0,60,0.5
299,268.0,60,0.5
300,267.0,120,0.05
301,262.0,120,0.05
302,219.0,120,0.05
303,323.0,120,0.05
304,262.0,120,0.05
305,383.0,120,0.05
306,256.0,120,0.05
307,307.0,120,0.05
308,255.0,120,0.05
309,271.0,120,0.05
310,340.0,120,0.05
311,408.0,120,0.05
312,258.0,120,0.05
313,374.0,120,0.05
314,379.0,120,0.05
315,256.0,120,0.05
316,428.0,120,0.05
317,283.0,120,0.05
318,313.0,120,0.05
319,258.0,120,0.05
320,315.0,120,0.05
321,310.0,120,0.05
322,260.0,120,0.05
323,223.0,120,0.05
324,250.0,120,0.05
325,250.0,120,0.05
326,308.0,120,0.05
327,271.0,120,0.05
328,245.0,120,0.05
329,268.0,120,0.05
330,261.0,120,0.1
331,284.0,120,0.1
332,431.0,120,0.1
333,258.0,120,0.1
334,207.0,120,0.1
335,258.0,120,0.1
336,288.0,120,0.1
337,316.0,120,0.1
338,257.0,120,0.1
339,313.0,120,0.1
340,261.0,120,0.1
341,255.0,120,0.1
342,436.0,120,0.1
343,257.0,120,0.1
344,319.0,120,0.1
345,437.0,120,0.1
346,266.0,120,0.1
347,322.0,120,0.1
348,286.0,120,0.1
349,260.0,120,0.1
350,309.0,120,0.1
351,267.0,120,0.1
352,286.0,120,0.1
353,314.0,120,0.1
354,266.0,120,0.1
355,311.0,120,0.1
356,333.0,120,0.1
357,360.0,120,0.1
358,266.0,120,0.1
359,383.0,120,0.1
360,253.0,120,0.15
361,316.0,120,0.15
362,307.0,120,0.15
363,217.0,120,0.15
364,376.0,120,0.15
365,308.0,120,0.15
366,314.0,120,0.15
367,254.0,120,0.15
368,265.0,120,0.15
369,257.0,120,0.15
370,250.0,120,0.15
371,260.0,120,0.15
372,207.0,120,0.15
373,316.0,120,0.15
374,272.0,120,0.15
375,256.0,120,0.15
376,309.0,120,0.15
377,317.0,120,0.15
378,262.0,120,0.15
379,230.0,120,0.15
380,250.0,120,0.15
381,220.0,120,0.15
382,229.0,120,0.15
383,271.0,120,0.15
384,431.0,120,0.15
385,260.0,120,0.15
386,253.0,120,0.15
387,321.0,120,0.15
388,338.0,120,0.15
389,311.0,120,0.15
390,319.0,120,0.2
391,298.0,120,0.2
392,289.0,120,0.2
393,312.0,120,0.2
394,266.0,120,0.2
395,286.0,120,0.2
396,266.0,120,0.2
397,257.0,120,0.2
398,314.0,120,0.2
399,260.0,120,0.2
400,280.0,120,0.2
401,307.0,120,0.2
402,219.0,120,0.2
403,261.0,120,0.2
404,305.0,120,0.2
405,259.0,120,0.2
406,312.0,120,0.2
407,256.0,120,0.2
408,319.0,120,0.2
409,237.0,120,0.2
410,253.0,120,0.2
411,359.0,120,0.2
412,253.0,120,0.2
413,321.0,120,0.2
414,282.0,120,0.2
415,466.0,120,0.2
416,247.0,120,0.2
417,277.0,120,0.2
418,383.0,120,0.2
419,257.0,120,0.2
420,307.0,120,0.25
421,276.0,120,0.25
422,314.0,120,0.25
423,287.0,120,0.25
424,1629.0,120,0.25
425,267.0,120,0.25
426,256.0,120,0.25
427,264.0,120,0.25
428,361.0,120,0.25
429,334.0,120,0.25
430,308.0,120,0.25
431,308.0,120,0.25
432,300.0,120,0.25
433,294.0,120,0.25
434,294.0,120,0.25
435,412.0,120,0.25
436,344.0,120,0.25
437,250.0,120,0.25
438,373.0,120,0.25
439,199.0,120,0.25
440,212.0,120,0.25
441,254.0,120,0.25
442,238.0,120,0.25
443,262.0,120,0.25
444,250.0,120,0.25
445,256.0,120,0.25
446,329.0,120,0.25
447,257.0,120,0.25
448,324.0,120,0.25
449,419.0,120,0.25
450,258.0,120,0.3
451,385.0,120,0.3
452,255.0,120,0.3
453,266.0,120,0.3
454,257.0,120,0.3
455,255.0,120,0.3
456,252.0,120,0.3
457,250.0,120,0.3
458,254.0,120,0.3
459,339.0,120,0.3
460,262.0,120,0.3
461,356.0,120,0.3
462,252.0,120,0.3
463,315.0,120,0.3
464,314.0,120,0.3
465,373.0,120,0.3
466,257.0,120,0.3
467,269.0,120,0.3
468,324.0,120,0.3
469,255.0,120,0.3
470,258.0,120,0.3
471,345.0,120,0.3
472,290.0,120,0.3
473,377.0,120,0.3
474,294.0,120,0.3
475,257.0,120,0.3
476,254.0,120,0.3
477,253.0,120,0.3
478,263.0,120,0.3
479,290.0,120,0.3
480,259.0,120,0.35
481,325.0,120,0.35
482,263.0,120,0.35
483,263.0,120,0.35
484,252.0,120,0.35
485,313.0,120,0.35
486,317.0,120,0.35
487,325.0,120,0.35
488,254.0,120,0.35
489,248.0,120,0.35
490,318.0,120,0.35
491,267.0,120,0.35
492,308.0,120,0.35
493,284.0,120,0.35
494,313.0,120,0.35
495,254.0,120,0.35
496,504.0,120,0.35
497,312.0,120,0.35
498,247.0,120,0.35
499,491.0,120,0.35
500,258.0,120,0.35
501,223.0,120,0.35
502,261.0,120,0.35
503,296.0,120,0.35
504,252.0,120,0.35
505,217.0,120,0.35
506,304.0,120,0.35
507,387.0,120,0.35
508,284.0,120,0.35
509,262.0,120,0.35
510,248.0,120,0.4
511,267.0,120,0.4
512,254.0,120,0.4
513,253.0,120,0.4
514,275.0,120,0.4
515,212.0,120,0.4
516,254.0,120,0.4
517,262.0,120,0.4
518,315.0,120,0.4
519,262.0,120,0.4
520,320.0,120,0.4
521,265.0,120,0.4
522,259.0,120,0.4
523,279.0,120,0.4
524,315.0,120,0.4
525,262.0,120,0.4
526,256.0,120,0.4
527,256.0,120,0.4
528,310.0,120,0.4
529,283.0,120,0.4
530,269.0,120,0.4
531,307.0,120,0.4
532,295.0,120,0.4
533,277.0,120,0.4
534,319.0,120,0.4
535,250.0,120,0.4
536,317.0,120,0.4
537,252.0,120,0.4
538,255.0,120,0.4
539,310.0,120,0.4
540,284.0,120,0.45
541,309.0,120,0.45
542,223.0,120,0.45
543,258.0,120,0.45
544,318.0,120,0.45
545,254.0,120,0.45
546,315.0,120,0.45
547,266.0,120,0.45
548,349.0,120,0.45
549,268.0,120,0.45
550,231.0,120,0.45
551,314.0,120,0.45
552,303.0,120,0.45
553,280.0,120,0.45
554,376.0,120,0.45
555,320.0,120,0.45
556,258.0,120,0.45
557,257.0,120,0.45
558,211.0,120,0.45
559,271.0,120,0.45
560,282.0,120,0.45
561,266.0,120,0.45
562,312.0,120,0.45
563,255.0,120,0.45
564,255.0,120,0.45
565,310.0,120,0.45
566,262.0,120,0.45
567,360.0,120,0.45
568,296.0,120,0.45
569,238.0,120,0.45
570,270.0,120,0.5
571,318.0,120,0.5
572,378.0,120,0.5
573,315.0,120,0.5
574,267.0,120,0.5
575,250.0,120,0.5
576,378.0,120,0.5
577,256.0,120,0.5
578,210.0,120,0.5
579,262.0,120,0.5
580,286.0,120,0.5
581,255.0,120,0.5
582,224.0,120,0.5
583,322.0,120,0.5
584,232.0,120,0.5
585,254.0,120,0.5
586,393.0,120,0.5
587,312.0,120,0.5
588,302.0,120,0.5
589,301.0,120,0.5
590,225.0,120,0.5
591,261.0,120,0.5
592,264.0,120,0.5
593,299.0,120,0.5
594,255.0,120,0.5
595,309.0,120,0.5
596,263.0,120,0.5
597,382.0,120,0.5
598,316.0,120,0.5
599,329.0,120,0.5
600,298.0,180,0.05
601,255.0,180,0.05
602,248.0,180,0.05
603,251.0,180,0.05
604,264.0,180,0.05
605,264.0,180,0.05
606,313.0,180,0.05
607,288.0,180,0.05
608,263.0,180,0.05
609,326.0,180,0.05
610,270.0,180,0.05
611,311.0,180,0.05
612,358.0,180,0.05
613,255.0,180,0.05
614,286.0,180,0.05
615,215.0,180,0.05
616,311.0,180,0.05
617,250.0,180,0.05
618,304.0,180,0.05
619,323.0,180,0.05
620,316.0,180,0.05
621,252.0,180,0.05
622,282.0,180,0.05
623,263.0,180,0.05
624,319.0,180,0.05
625,239.0,180,0.05
626,412.0,180,0.05
627,310.0,180,0.05
628,377.0,180,0.05
629,260.0,180,0.05
630,250.0,180,0.1
631,461.0,180,0.1
632,322.0,180,0.1
633,363.0,180,0.1
634,305.0,180,0.1
635,312.0,180,0.1
636,315.0,180,0.1
637,312.0,180,0.1
638,251.0,180,0.1
639,260.0,180,0.1
640,270.0,180,0.1
641,259.0,180,0.1
642,290.0,180,0.1
643,300.0,180,0.1
644,313.0,180,0.1
645,326.0,180,0.1
646,338.0,180,0.1
647,259.0,180,0.1
648,380.0,180,0.1
649,210.0,180,0.1
650,247.0,180,0.1
651,263.0,180,0.1
652,374.0,180,0.1
653,302.0,180,0.1
654,256.0,180,0.1
655,255.0,180,0.1
656,251.0,180,0.1
657,271.0,180,0.1
658,313.0,180,0.1
659,269.0,180,0.1
660,277.0,180,0.15
661,297.0,180,0.15
662,267.0,180,0.15
663,325.0,180,0.15
664,283.0,180,0.15
665,286.0,180,0.15
666,252.0,180,0.15
667,260.0,180,0.15
668,217.0,180,0.15
669,260.0,180,0.15
670,258.0,180,0.15
671,263.0,180,0.15
672,255.0,180,0.15
673,237.0,180,0.15
674,307.0,180,0.15
675,287.0,180,0.15
676,340.0,180,0.15
677,307.0,180,0.15
678,311.0,180,0.15
679,311.0,180,0.15
680,300.0,180,0.15
681,259.0,180,0.15
682,264.0,180,0.15
683,263.0,180,0.15
684,310.0,180,0.15
685,255.0,180,0.15
686,342.0,180,0.15
687,257.0,180,0.15
688,263.0,180,0.15
689,265.0,180,0.15
690,371.0,180,0.2
691,312.0,180,0.2
692,287.0,180,0.2
693,380.0,180,0.2
694,329.0,180,0.2
695,252.0,180,0.2
696,281.0,180,0.2
697,364.0,180,0.2
698,266.0,180,0.2
699,306.0,180,0.2
700,270.0,180,0.2
701,270.0,180,0.2
702,217.0,180,0.2
703,267.0,180,0.2
704,262.0,180,0.2
705,311.0,180,0.2
706,319.0,180,0.2
707,260.0,180,0.2
708,231.0,180,0.2
709,310.0,180,0.2
710,312.0,180,0.2
711,215.0,180,0.2
712,276.0,180,0.2
713,261.0,180,0.2
714,261.0,180,0.2
715,284.0,180,0.2
716,256.0,180,0.2
717,270.0,180,0.2
718,314.0,180,0.2
719,262.0,180,0.2
720,267.0,180,0.25
721,258.0,180,0.25
722,320.0,180,0.25
723,253.0,180,0.25
724,254.0,180,0.25
725,312.0,180,0.25
726,267.0,180,0.25
727,377.0,180,0.25
728,315.0,180,0.25
729,264.0,180,0.25
730,259.0,180,0.25
731,235.0,180,0.25
732,320.0,180,0.25
733,269.0,180,0.25
734,217.0,180,0.25
735,263.0,180,0.25
736,378.0,180,0.25
737,373.0,180,0.25
738,257.0,180,0.25
739,263.0,180,0.25
740,316.0,180,0.25
741,255.0,180,0.25
742,314.0,180,0.25
743,250.0,180,0.25
744,259.0,180,0.25
745,316.0,180,0.25
746,323.0,180,0.25
747,322.0,180,0.25
748,258.0,180,0.25
749,431.0,180,0.25
750,285.0,180,0.3
751,264.0,180,0.3
752,317.0,180,0.3
753,259.0,180,0.3
754,261.0,180,0.3
755,345.0,180,0.3
756,252.0,180,0.3
757,262.0,180,0.3
758,258.0,180,0.3
759,256.0,180,0.3
760,313.0,180,0.3
761,320.0,180,0.3
762,355.0,180,0.3
763,257.0,180,0.3
764,263.0,180,0.3
765,313.0,180,0.3
766,314.0,180,0.3
767,266.0,180,0.3
768,219.0,180,0.3
769,263.0,180,0.3
770,274.0,180,0.3
771,268.0,180,0.3
772,295.0,180,0.3
773,206.0,180,0.3
774,374.0,180,0.3
775,250.0,180,0.3
776,310.0,180,0.3
777,251.0,180,0.3
778,314.0,180,0.3
779,380.0,180,0.3
780,259.0,180,0.35
781,361.0,180,0.35
782,314.0,180,0.35
783,383.0,180,0.35
784,259.0,180,0.35
785,311.0,180,0.35
786,253.0,180,0.35
787,309.0,180,0.35
788,232.0,180,0.35
789,270.0,180,0.35
790,444.0,180,0.35
791,442.0,180,0.35
792,250.0,180,0.35
793,259.0,180,0.35
794,260.0,180,0.35
795,254.0,180,0.35
796,273.0,180,0.35
797,281.0,180,0.35
798,255.0,180,0.35
799,320.0,180,0.35
800,315.0,180,0.35
801,378.0,180,0.35
802,262.0,180,0.35
803,322.0,180,0.35
804,256.0,180,0.35
805,227.0,180,0.35
806,228.0,180,0.35
807,344.0,180,0.35
808,318.0,180,0.35
809,253.0,180,0.35
810,464.0,180,0.4
811,383.0,180,0.4
812,260.0,180,0.4
813,251.0,180,0.4
814,250.0,180,0.4
815,280.0,180,0.4
816,309.0,180,0.4
817,285.0,180,0.4
818,372.0,180,0.4
819,265.0,180,0.4
820,428.0,180,0.4
821,262.0,180,0.4
822,323.0,180,0.4
823,260.0,180,0.4
824,267.0,180,0.4
825,267.0,180,0.4
826,251.0,180,0.4
827,258.0,180,0.4
828,327.0,180,0.4
829,256.0,180,0.4
830,267.0,180,0.4
831,267.0,180,0.4
832,261.0,180,0.4
833,315.0,180,0.4
834,323.0,180,0.4
835,220.0,180,0.4
836,318.0,180,0.4
837,310.0,180,0.4
838,215.0,180,0.4
839,263.0,180,0.4
840,316.0,180,0.45
841,379.0,180,0.45
842,267.0,180,0.45
843,255.0,180,0.45
844,262.0,180,0.45
845,267.0,180,0.45
846,316.0,180,0.45
847,259.0,180,0.45
848,333.0,180,0.45
849,266.0,180,0.45
850,313.0,180,0.45
851,428.0,180,0.45
852,316.0,180,0.45
853,235.0,180,0.45
854,312.0,180,0.45
855,262.0,180,0.45
856,313.0,180,0.45
857,315.0,180,0.45
858,431.0,180,0.45
859,255.0,180,0.45
860,375.0,180,0.45
861,267.0,180,0.45
862,258.0,180,0.45
863,268.0,180,0.45
864,253.0,180,0.45
865,280.0,180,0.45
866,256.0,180,0.45
867,321.0,180,0.45
868,312.0,180,0.45
869,315.0,180,0.45
870,310.0,180,0.5
871,317.0,180,0.5
872,287.0,180,0.5
873,259.0,180,0.5
874,256.0,180,0.5
875,253.0,180,0.5
876,317.0,180,0.5
877,264.0,180,0.5
878,263.0,180,0.5
879,392.0,180,0.5
880,316.0,180,0.5
881,260.0,180,0.5
882,308.0,180,0.5
883,260.0,180,0.5
884,323.0,180,0.5
885,270.0,180,0.5
886,515.0,180,0.5
887,216.0,180,0.5
888,264.0,180,0.5
889,254.0,180,0.5
890,310.0,180,0.5
891,258.0,180,0.5
892,267.0,180,0.5
893,295.0,180,0.5
894,222.0,180,0.5
895,259.0,180,0.5
896,320.0,180,0.5
897,374.0,180,0.5
898,313.0,180,0.5
899,267.0,180,0.5
900,258.0,240,0.05
901,279.0,240,0.05
902,252.0,240,0.05
903,326.0,240,0.05
904,283.0,240,0.05
905,331.0,240,0.05
906,275.0,240,0.05
907,365.0,240,0.05
908,209.0,240,0.05
909,256.0,240,0.05
910,368.0,240,0.05
911,251.0,240,0.05
912,319.0,240,0.05
913,370.0,240,0.05
914,241.0,240,0.05
915,318.0,240,0.05
916,313.0,240,0.05
917,330.0,240,0.05
918,253.0,240,0.05
919,257.0,240,0.05
920,267.0,240,0.05
921,443.0,240,0.05
922,561.0,240,0.05
923,286.0,240,0.05
924,208.0,240,0.05
925,235.0,240,0.05
926,284.0,240,0.05
927,309.0,240,0.05
928,253.0,240,0.05
929,319.0,240,0.05
930,254.0,240,0.1
931,257.0,240,0.1
932,256.0,240,0.1
933,261.0,240,0.1
934,422.0,240,0.1
935,228.0,240,0.1
936,222.0,240,0.1
937,208.0,240,0.1
938,258.0,240,0.1
939,258.0,240,0.1
940,265.0,240,0.1
941,373.0,240,0.1
942,273.0,240,0.1
943,295.0,240,0.1
944,309.0,240,0.1
945,291.0,240,0.1
946,311.0,240,0.1
947,259.0,240,0.1
948,252.0,240,0.1
949,269.0,240,0.1
950,234.0,240,0.1
951,311.0,240,0.1
952,311.0,240,0.1
953,265.0,240,0.1
954,279.0,240,0.1
955,262.0,240,0.1
956,291.0,240,0.1
957,275.0,240,0.1
958,314.0,240,0.1
959,242.0,240,0.1
960,415.0,240,0.15
961,259.0,240,0.15
962,258.0,240,0.15
963,263.0,240,0.15
964,281.0,240,0.15
965,316.0,240,0.15
966,257.0,240,0.15
967,287.0,240,0.15
968,259.0,240,0.15
969,260.0,240,0.15
970,261.0,240,0.15
971,265.0,240,0.15
972,255.0,240,0.15
973,253.0,240,0.15
974,311.0,240,0.15
975,376.0,240,0.15
976,263.0,240,0.15
977,257.0,240,0.15
978,266.0,240,0.15
979,216.0,240,0.15
980,311.0,240,0.15
981,250.0,240,0.15
982,263.0,240,0.15
983,337.0,240,0.15
984,372.0,240,0.15
985,323.0,240,0.15
986,252.0,240,0.15
987,215.0,240,0.15
988,258.0,240,0.15
989,251.0,240,0.15
990,285.0,240,0.2
991,270.0,240,0.2
992,317.0,240,0.2
993,284.0,240,0.2
994,254.0,240,0.2
995,328.0,240,0.2
996,257.0,240,0.2
997,206.0,240,0.2
998,288.0,240,0.2
999,264.0,240,0.2
1000,316.0,240,0.2
1001,324.0,240,0.2
1002,242.0,240,0.2
1003,213.0,240,0.2
1004,268.0,240,0.2
1005,315.0,240,0.2
1006,258.0,240,0.2
1007,315.0,240,0.2
1008,316.0,240,0.2
1009,384.0,240,0.2
1010,312.0,240,0.2
1011,432.0,240,0.2
1012,253.0,240,0.2
1013,259.0,240,0.2
1014,247.0,240,0.2
1015,316.0,240,0.2
1016,337.0,240,0.2
1017,314.0,240,0.2
1018,287.0,240,0.2
1019,258.0,240,0.2
1020,321.0,240,0.25
1021,210.0,240,0.25
1022,248.0,240,0.25
1023,264.0,240,0.25
1024,253.0,240,0.25
1025,265.0,240,0.25
1026,262.0,240,0.25
1027,230.0,240,0.25
1028,317.0,240,0.25
1029,419.0,240,0.25
1030,367.0,240,0.25
1031,302.0,240,0.25
1032,373.0,240,0.25
1033,278.0,240,0.25
1034,253.0,240,0.25
1035,229.0,240,0.25
1036,326.0,240,0.25
1037,320.0,240,0.25
1038,263.0,240,0.25
1039,295.0,240,0.25
1040,227.0,240,0.25
1041,272.0,240,0.25
1042,303.0,240,0.25
1043,249.0,240,0.25
1044,263.0,240,0.25
1045,205.0,240,0.25
1046,263.0,240,0.25
1047,257.0,240,0.25
1048,261.0,240,0.25
1049,354.0,240,0.25
1050,308.0,240,0.3
1051,289.0,240,0.3
1052,257.0,240,0.3
1053,314.0,240,0.3
1054,266.0,240,0.3
1055,207.0,240,0.3
1056,321.0,240,0.3
1057,296.0,240,0.3
1058,219.0,240,0.3
1059,222.0,240,0.3
1060,346.0,240,0.3
1061,257.0,240,0.3
1062,313.0,240,0.3
1063,283.0,240,0.3
1064,251.0,240,0.3
1065,283.0,240,0.3
1066,330.0,240,0.3
1067,253.0,240,0.3
1068,214.0,240,0.3
1069,383.0,240,0.3
1070,266.0,240,0.3
1071,314.0,240,0.3
1072,264.0,240,0.3
1073,221.0,240,0.3
1074,212.0,240,0.3
1075,501.0,240,0.3
1076,370.0,240,0.3
1077,255.0,240,0.3
1078,269.0,240,0.3
1079,282.0,240,0.3
1080,280.0,240,0.35
1081,312.0,240,0.35
1082,233.0,240,0.35
1083,296.0,240,0.35
1084,256.0,240,0.35
1085,364.0,240,0.35
1086,253.0,240,0.35
1087,262.0,240,0.35
1088,268.0,240,0.35
1089,344.0,240,0.35
1090,215.0,240,0.35
1091,255.0,240,0.35
1092,213.0,240,0.35
1093,460.0,240,0.35
1094,319.0,240,0.35
1095,244.0,240,0.35
1096,259.0,240,0.35
1097,247.0,240,0.35
1098,260.0,240,0.35
1099,328.0,240,0.35
1100,391.0,240,0.35
1101,292.0,240,0.35
1102,254.0,240,0.35
1103,316.0,240,0.35
1104,307.0,240,0.35
1105,258.0,240,0.35
1106,287.0,240,0.35
1107,336.0,240,0.35
1108,295.0,240,0.35
1109,320.0,240,0.35
1110,278.0,240,0.4
1111,256.0,240,0.4
1112,261.0,240,0.4
1113,301.0,240,0.4
1114,246.0,240,0.4
1115,506.0,240,0.4
1116,261.0,240,0.4
1117,214.0,240,0.4
1118,379.0,240,0.4
1119,261.0,240,0.4
1120,283.0,240,0.4
1121,333.0,240,0.4
1122,264.0,240,0.4
1123,292.0,240,0.4
1124,319.0,240,0.4
1125,327.0,240,0.4
1126,263.0,240,0.4
1127,259.0,240,0.4
1128,316.0,240,0.4
1129,252.0,240,0.4
1130,260.0,240,0.4
1131,313.0,240,0.4
1132,251.0,240,0.4
1133,269.0,240,0.4
1134,318.0,240,0.4
1135,250.0,240,0.4
1136,253.0,240,0.4
1137,312.0,240,0.4
1138,225.0,240,0.4
1139,284.0,240,0.4
1140,207.0,240,0.45
1141,255.0,240,0.45
1142,334.0,240,0.45
1143,376.0,240,0.45
1144,261.0,240,0.45
1145,255.0,240,0.45
1146,228.0,240,0.45
1147,400.0,240,0.45
1148,269.0,240,0.45
1149,318.0,240,0.45
