,adaptive-support,no-support,passenger-support,staff-support
0,257.0,438.0,275.0,264.0
1,262.0,291.0,441.0,382.0
2,534.0,297.0,278.0,433.0
3,293.0,301.0,260.0,515.0
4,242.0,263.0,277.0,270.0
5,319.0,492.0,312.0,256.0
6,258.0,268.0,274.0,255.0
7,216.0,264.0,393.0,427.0
8,295.0,282.0,335.0,248.0
9,263.0,508.0,262.0,320.0
10,254.0,271.0,213.0,522.0
11,241.0,300.0,270.0,322.0
12,290.0,294.0,240.0,310.0
13,253.0,285.0,237.0,340.0
14,284.0,511.0,273.0,264.0
15,303.0,499.0,502.0,251.0
16,325.0,285.0,324.0,313.0
17,248.0,505.0,319.0,256.0
18,216.0,330.0,265.0,248.0
19,261.0,281.0,521.0,213.0
20,338.0,735.0,414.0,515.0
21,252.0,362.0,312.0,263.0
22,295.0,292.0,252.0,262.0
23,319.0,499.0,314.0,598.0
24,269.0,271.0,314.0,213.0
25,286.0,498.0,253.0,265.0
26,263.0,607.0,324.0,515.0
27,258.0,441.0,255.0,366.0
28,265.0,315.0,233.0,263.0
29,268.0,985.0,280.0,260.0
30,216.0,488.0,257.0,260.0
31,254.0,276.0,351.0,265.0
32,263.0,303.0,320.0,256.0
33,278.0,264.0,242.0,227.0
34,319.0,279.0,367.0,315.0
35,261.0,494.0,295.0,310.0
36,392.0,506.0,355.0,248.0
37,438.0,334.0,378.0,265.0
38,223.0,259.0,536.0,253.0
39,266.0,315.0,267.0,392.0
40,257.0,311.0,384.0,718.0
41,266.0,347.0,383.0,269.0
42,318.0,284.0,262.0,279.0
43,291.0,261.0,318.0,526.0
44,371.0,288.0,445.0,511.0
45,226.0,254.0,269.0,314.0
46,264.0,491.0,378.0,544.0
47,253.0,281.0,225.0,518.0
48,257.0,492.0,250.0,376.0
49,548.0,564.0,564.0,541.0
50,290.0,309.0,321.0,262.0
51,263.0,257.0,490.0,544.0
52,377.0,264.0,295.0,279.0
53,252.0,315.0,257.0,262.0
54,429.0,266.0,270.0,312.0
55,255.0,258.0,307.0,313.0
56,318.0,503.0,317.0,270.0
57,274.0,255.0,415.0,521.0
58,374.0,317.0,209.0,331.0
59,316.0,506.0,257.0,527.0
60,374.0,314.0,270.0,309.0
61,381.0,309.0,312.0,265.0
62,248.0,282.0,434.0,231.0
63,324.0,504.0,253.0,315.0
64,362.0,302.0,393.0,259.0
65,285.0,327.0,310.0,267.0
66,260.0,257.0,298.0,263.0
67,531.0,499.0,317.0,219.0
68,272.0,520.0,256.0,257.0
69,308.0,492.0,291.0,298.0
70,529.0,492.0,312.0,264.0
71,349.0,274.0,694.0,300.0
72,285.0,316.0,306.0,261.0
73,263.0,508.0,326.0,272.0
74,299.0,496.0,378.0,274.0
75,265.0,346.0,295.0,537.0
76,256.0,497.0,252.0,276.0
77,262.0,744.0,232.0,246.0
78,260.0,273.0,319.0,344.0
79,376.0,311.0,303.0,315.0
80,327.0,300.0,261.0,525.0
81,255.0,274.0,299.0,258.0
82,371.0,256.0,641.0,260.0
83,339.0,309.0,293.0,248.0
84,270.0,312.0,257.0,311.0
85,629.0,501.0,274.0,516.0
86,514.0,304.0,330.0,232.0
87,230.0,502.0,293.0,260.0
88,210.0,533.0,267.0,204.0
89,509.0,314.0,314.0,259.0
90,247.0,737.0,273.0,548.0
91,287.0,266.0,288.0,209.0
92,263.0,260.0,291.0,275.0
93,271.0,292.0,343.0,326.0
94,334.0,490.0,291.0,538.0
95,607.0,301.0,261.0,251.0
96,263.0,387.0,263.0,271.0
97,310.0,329.0,208.0,262.0
98,258.0,265.0,270.0,250.0
99,316.0,313.0,315.0,531.0
