,adaptive-support,no-support,passenger-support,staff-support
0,263.0,266.0,330.0,310.0
1,230.0,278.0,271.0,250.0
2,439.0,380.0,316.0,321.0
3,314.0,284.0,278.0,231.0
4,319.0,506.0,278.0,593.0
5,391.0,332.0,338.0,290.0
6,367.0,260.0,315.0,594.0
7,319.0,298.0,254.0,286.0
8,275.0,511.0,283.0,256.0
9,517.0,257.0,375.0,273.0
10,701.0,294.0,262.0,587.0
11,595.0,505.0,315.0,319.0
12,254.0,310.0,625.0,255.0
13,318.0,305.0,287.0,322.0
14,218.0,289.0,628.0,595.0
15,256.0,266.0,264.0,310.0
16,329.0,281.0,294.0,570.0
17,259.0,269.0,319.0,307.0
18,360.0,313.0,270.0,320.0
19,264.0,528.0,307.0,313.0
20,321.0,496.0,310.0,260.0
21,276.0,505.0,312.0,260.0
22,296.0,309.0,257.0,324.0
23,252.0,265.0,313.0,264.0
24,265.0,265.0,381.0,268.0
25,255.0,373.0,261.0,288.0
26,278.0,273.0,316.0,208.0
27,256.0,315.0,313.0,255.0
28,262.0,353.0,257.0,591.0
29,264.0,499.0,308.0,572.0
30,270.0,508.0,255.0,259.0
31,254.0,388.0,259.0,255.0
32,256.0,300.0,259.0,599.0
33,259.0,289.0,268.0,307.0
34,317.0,287.0,273.0,316.0
35,317.0,275.0,316.0,261.0
36,249.0,313.0,221.0,587.0
37,276.0,524.0,584.0,257.0
38,255.0,273.0,314.0,218.0
39,578.0,267.0,382.0,249.0
40,315.0,319.0,301.0,409.0
41,312.0,267.0,324.0,593.0
42,469.0,298.0,269.0,241.0
43,315.0,328.0,282.0,377.0
44,277.0,287.0,243.0,263.0
45,317.0,283.0,319.0,313.0
46,252.0,495.0,320.0,256.0
47,265.0,291.0,303.0,310.0
48,284.0,295.0,257.0,316.0
49,254.0,327.0,256.0,329.0
50,284.0,508.0,298.0,349.0
51,252.0,521.0,671.0,322.0
52,269.0,270.0,260.0,612.0
53,256.0,497.0,287.0,312.0
54,266.0,308.0,299.0,265.0
55,263.0,501.0,343.0,596.0
56,254.0,311.0,287.0,351.0
57,293.0,734.0,353.0,592.0
58,302.0,315.0,264.0,256.0
59,325.0,332.0,234.0,586.0
60,306.0,496.0,616.0,432.0
61,254.0,279.0,249.0,312.0
62,396.0,269.0,256.0,311.0
63,276.0,491.0,273.0,595.0
64,253.0,520.0,576.0,291.0
65,249.0,320.0,299.0,316.0
66,245.0,299.0,294.0,255.0
67,559.0,516.0,360.0,373.0
68,311.0,312.0,272.0,245.0
69,306.0,280.0,322.0,314.0
70,264.0,267.0,241.0,314.0
71,219.0,272.0,294.0,289.0
72,256.0,300.0,379.0,314.0
73,330.0,272.0,295.0,256.0
74,205.0,282.0,324.0,263.0
75,263.0,323.0,254.0,617.0
76,338.0,314.0,304.0,253.0
77,313.0,267.0,266.0,560.0
78,318.0,297.0,294.0,288.0
79,293.0,793.0,271.0,252.0
80,435.0,321.0,345.0,311.0
81,259.0,315.0,497.0,227.0
82,314.0,269.0,300.0,214.0
83,309.0,265.0,280.0,280.0
84,261.0,505.0,254.0,350.0
85,253.0,333.0,258.0,306.0
86,215.0,266.0,301.0,282.0
87,263.0,799.0,376.0,311.0
88,375.0,803.0,289.0,251.0
89,254.0,254.0,338.0,276.0
90,318.0,357.0,260.0,260.0
91,264.0,307.0,319.0,301.0
92,313.0,397.0,330.0,258.0
93,268.0,495.0,312.0,223.0
94,250.0,488.0,316.0,618.0
95,207.0,273.0,435.0,314.0
96,600.0,320.0,284.0,260.0
97,253.0,330.0,435.0,300.0
98,269.0,274.0,353.0,324.0
99,256.0,489.0,296.0,580.0
